test de lancé d'objet:
(1,0.1,5.20095)
(2,0.2,5.35285)
(3,0.3,5.4557)
(4,0.4,5.5095)
(5,0.5,5.51425)
(6,0.6,5.46995)
(7,0.7,5.3766)
(8,0.8,5.2342)
(9,0.9,5.04275)
(10,1,4.80225)
(11,1.1,4.5127)
(12,1.2,4.1741)
(13,1.3,3.78645)
(14,1.4,3.34975)
(15,1.5,2.864)
(16,1.6,2.3292)
(17,1.7,1.74535)
(18,1.8,1.11245)
(19,1.9,0.430499)
(20,2,-0.300501)

test drop d'un carre:
(0,-2.4525,0)
(5,-2.4525,0)
(0,2.5475,0)
(5,2.5475,0)
(0,-7.3575,0)
(5,-7.3575,0)
(0,-2.3575,0)
(5,-2.3575,0)
(0,-14.715,0)
(5,-14.715,0)
(0,-9.715,0)
(5,-9.715,0)
(0,-24.525,0)
(5,-24.525,0)
(0,-19.525,0)
(5,-19.525,0)
(0,-36.7875,0)
(5,-36.7875,0)
(0,-31.7875,0)
(5,-31.7875,0)
(0,-51.5025,0)
(5,-51.5025,0)
(0,-46.5025,0)
(5,-46.5025,0)
(0,-68.67,0)
(5,-68.67,0)
(0,-63.67,0)
(5,-63.67,0)
(0,-88.29,0)
(5,-88.29,0)
(0,-83.29,0)
(5,-83.29,0)
(0,-110.363,0)
(5,-110.363,0)
(0,-105.363,0)
(5,-105.363,0)
(0,-134.888,0)
(5,-134.888,0)
(0,-129.888,0)
(5,-129.888,0)

(0.3,-2.3775,0)
(5.3,-2.3775,0)
(0.3,2.6225,0)
(5.3,2.6225,0)
(0.9,-7.1325,0)
(5.9,-7.1325,0)
(0.9,-2.1325,0)
(5.9,-2.1325,0)
(1.8,-14.265,0)
(6.8,-14.265,0)
(1.8,-9.265,0)
(6.8,-9.265,0)
(3,-23.775,0)
(8,-23.775,0)
(3,-18.775,0)
(8,-18.775,0)
(4.5,-35.6625,0)
(9.5,-35.6625,0)
(4.5,-30.6625,0)
(9.5,-30.6625,0)
(6.3,-49.9275,0)
(11.3,-49.9275,0)
(6.3,-44.9275,0)
(11.3,-44.9275,0)
(8.4,-66.57,0)
(13.4,-66.57,0)
(8.4,-61.57,0)
(13.4,-61.57,0)
(10.8,-85.59,0)
(15.8,-85.59,0)
(10.8,-80.59,0)
(15.8,-80.59,0)
(13.5,-106.988,0)
(18.5,-106.988,0)
(13.5,-101.988,0)
(18.5,-101.988,0)
(16.5,-130.763,0)
(21.5,-130.763,0)
(16.5,-125.763,0)
(21.5,-125.763,0)
